From,To,Length(m),Azimuth(deg),Clino(deg)
1.0@centerline.data,1.1@centerline.data,4.46,132.88,-28.82
1.1@centerline.data,1.2@centerline.data,9.38,112.60,-28.37
1.2@centerline.data,101.1@centerline.data,6.74,0.82,7.83
1.2@centerline.data,1.3@centerline.data,8.21,154.79,0.80
1.3@centerline.data,102.1@centerline.data,5.44,237.02,12.34
1.3@centerline.data,1.4@centerline.data,20.76,97.92,20.81
1.4@centerline.data,1.5@centerline.data,12.50,175.99,-24.66
1.5@centerline.data,1.6@centerline.data,11.31,186.21,13.90
1.6@centerline.data,1.7@centerline.data,2.40,118.48,40.16
1.7@centerline.data,1.8@centerline.data,13.05,109.86,22.64
1.8@centerline.data,1.9@centerline.data,3.76,47.06,-5.01
1.9@centerline.data,1.10@centerline.data,5.63,90.89,-0.58
1.10@centerline.data,1.11@centerline.data,12.73,98.89,-12.12
1.11@centerline.data,1.12@centerline.data,10.12,43.58,-2.20
1.12@centerline.data,1.13@centerline.data,1.92,3.95,12.98
1.13@centerline.data,1.14@centerline.data,9.29,197.30,-9.67
1.14@centerline.data,1.15@centerline.data,3.60,237.56,-51.33
1.15@centerline.data,1.16@centerline.data,3.08,219.61,15.11
1.16@centerline.data,1.17@centerline.data,11.14,243.16,-4.97
1.17@centerline.data,1.18@centerline.data,15.68,232.99,1.84
1.18@centerline.data,1.19@centerline.data,4.38,140.64,-5.47
1.19@centerline.data,1.20@centerline.data,8.02,238.45,0.97
1.20@centerline.data,1.21@centerline.data,11.46,192.00,4.33
1.21@centerline.data,1.22@centerline.data,13.60,254.98,-1.68
1.22@centerline.data,1.23@centerline.data,6.70,192.34,3.04
1.23@centerline.data,1.24@centerline.data,5.07,137.28,6.21
1.24@centerline.data,1.25@centerline.data,5.18,38.42,23.07
1.25@centerline.data,1.26@centerline.data,12.02,64.39,-0.72
1.26@centerline.data,1.27@centerline.data,11.08,67.77,-4.37
1.27@centerline.data,1.28@centerline.data,11.88,59.31,-0.58
1.28@centerline.data,1.29@centerline.data,18.56,56.97,-1.60
1.29@centerline.data,1.30@centerline.data,10.55,50.23,3.88
1.30@centerline.data,1.31@centerline.data,4.61,77.05,-6.88
1.31@centerline.data,1.32@centerline.data,11.29,194.70,1.94
1.32@centerline.data,1.33@centerline.data,10.25,203.18,0.52
1.33@centerline.data,1.34@centerline.data,9.78,114.97,1.59
1.34@centerline.data,1.35@centerline.data,12.60,181.17,0.91
1.35@centerline.data,1.36@centerline.data,6.32,164.66,1.37
1.36@centerline.data,1.37@centerline.data,7.57,159.85,-1.54
1.37@centerline.data,1.38@centerline.data,7.10,115.99,-0.79
1.38@centerline.data,1.39@centerline.data,10.07,193.53,1.43
1.39@centerline.data,1.40@centerline.data,9.93,200.11,1.62
1.40@centerline.data,1.41@centerline.data,4.22,97.45,-1.34
1.41@centerline.data,1.42@centerline.data,11.43,70.29,0.98
1.42@centerline.data,1.43@centerline.data,4.86,68.10,3.46
1.43@centerline.data,1.44@centerline.data,4.40,31.64,2.14
1.44@centerline.data,1.45@centerline.data,7.29,92.63,-0.68
1.45@centerline.data,1.46@centerline.data,8.21,39.29,-2.99
1.46@centerline.data,1.47@centerline.data,12.93,41.55,1.03
1.47@centerline.data,1.48@centerline.data,6.96,123.72,1.94
1.48@centerline.data,1.49@centerline.data,10.01,157.13,-1.41
1.49@centerline.data,1.50@centerline.data,4.67,72.57,2.61
1.50@centerline.data,1.51@centerline.data,12.27,101.64,-1.09
1.51@centerline.data,1.52@centerline.data,5.02,106.26,-0.52
1.52@centerline.data,1.53@centerline.data,8.69,143.11,0.22
1.53@centerline.data,1.54@centerline.data,21.82,236.13,2.51
1.54@centerline.data,1.55@centerline.data,12.48,168.42,1.49
1.55@centerline.data,1.56@centerline.data,14.94,239.74,-0.34
1.56@centerline.data,1.57@centerline.data,10.55,186.37,-1.52
1.57@centerline.data,1.58@centerline.data,12.84,171.11,4.14
1.58@centerline.data,1.59@centerline.data,18.46,221.54,-5.67
1.59@centerline.data,1.60@centerline.data,19.45,190.37,4.79
